#,Номер законопроекта,Категория,Тема,Название на сайте ГД,Название,Дата принятия,Время рассмотрения ,Субъект права законодательной инициативы,Форма законопроекта,Ответственный комитет,Комитеты-соисполнители,Отрасль законодательства,Тематический блок законопроектов,Профильный комитет,Предмет ведения,Описание,Польза гражданам,Польза государству
11,601926-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Льготы инвалидам без бумажной волокиты,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 18.07.2019 № 184-ФЗ «О внесении изменений в Федеральный закон «О социальной защите инвалидов в Российской Федерации» и признании утратившим силу пункта 16 части 6 статьи 7 Федерального закона «Об организации предоставления государственных и муниципальных услуг»,09.07.2019,215,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления,070.000.000 Социальное обеспечение и социальное страхование,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",нет,"Закон исключает необходимость предоставления бумажных справок об инвалидности для получения льгот через МФЦ. Кроме того, предлагается предусмотреть не менее 10% мест на парковках для бесплатной парковки ТС инвалидов.",проще и быстрее получить положенные по закону льготы,развивать межведомственное взаимодействие
12,703816-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Компенсация части ипотечного кредита многодетным семьям,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2019 № 157-ФЗ «О мерах государственной поддержки семей, имеющих детей, в части погашения обязательств по ипотечным жилищным кредитам (займам) и о внесении изменений в статью 13-2 Федерального закона «Об актах гражданского состояния»",19.06.2019,43,"Депутаты Государственной Думы В.В.Володин, А.Г.Аксаков, В.В.Жириновский, И.И.Мельников; Члены Совета Федерации В.И.Матвиенко, Е.В.Бушмин, С.Н.Рябухин, Н.А.Журавлев",Федеральный закон,Комитет Государственной Думы по финансовому рынку,"Комитет Государственной Думы по вопросам семьи, женщин и детей","040.000.000 Семья, 080.000.000 Финансы","Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,нет,"Закон устанавливает основу для компенсации части ипотеки многодетным семьям, которые смогут получить из бюджета 450 тыс. руб. на оплату ипотечного кредита.",получить необходимую поддержку многодетным семьям,"облегчить бремя ипотеки многодетным семьям, способствовать улучшению их жилищных условий"
13,684672-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Освобождение «ипотечных каникул» от НДФЛ,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2019 № 158-ФЗ «О внесении изменений в часть вторую Налогового кодекса Российской Федерации»,19.06.2019,71,"Депутаты Государственной Думы В.В.Володин, А.Г.Аксаков, В.В.Жириновский, И.И.Мельников; Члены Совета Федерации В.И.Матвиенко, Е.В.Бушмин, С.Н.Рябухин, Н.А.Журавлев",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по финансовому рынку,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,Закон вводит льготы по НДФЛ для воспользовавшихся «ипотечными каникулами».,в трудной финансовой ситуации воспользоваться правом на «ипотечные каникулы» без дополнительных денежных потерь,"освободить механизм «ипотечных каникул» от любых финансовых обременений, что соответствует духу поручения Президента РФ"
14,635569-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Получение «детских» выплат,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.05.2019 № 92-ФЗ «О внесении изменений в Федеральный закон «О ежемесячных выплатах семьям, имеющим детей»",11.04.2019,72,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по вопросам семьи, женщин и детей",нет,"040.000.000 Семья, 070.000.000 Социальное обеспечение и социальное страхование",Социальная политика,"Комитет Государственной Думы по вопросам семьи, женщин и детей",Совместное ведение,"Закон разрешил подавать заявление о ежемесячной выплате в связи с рождением или усыновлением ребенка не только по месту жительства, но и по месту пребывания или фактического проживания родителей (законных представителей).",проще и быстрее получать предусмотренные по закону выплаты,развивать межведомственное взаимодействие
15,655479-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Ипотечные каникулы,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.05.2019 № 76-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в части особенностей изменения условий кредитного договора, договора займа, которые заключены с заемщиком - физическим лицом в целях, не связанных с осуществлением им предпринимательской деятельности, и обязательства заемщика по которым обеспечены ипотекой, по требованию заемщика»",18.04.2019,49,"Депутаты Государственной Думы В.В.Володин, А.Г.Аксаков, В.В.Жириновский, И.И.Мельников; Члены Совета Федерации В.И.Матвиенко, Е.В.Бушмин, С.Н.Рябухин, Н.А.Журавлев",Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,"Закон предусматривает для граждан, попавших в трудную финансовую ситуацию, «ипотечные каникулы» — право однократно обратиться за 6-месячной отсрочкой с приостановлением или отменой платежей. Под действие закона попадают и ранее выданные ипотечные кредиты.", получить поддержку в непростых жизненных обстоятельствах,"установить дополнительные гарантии борьбы с бедностью, защиты имущественных интересов граждан в затруднительном финансовом положении"
16,268019-7 ,Социальное обеспечение и льготы,Социальная поддержка граждан,Контрольные закупки Роспотребнадзора,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 18.04.2018 № 81-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации»,03.04.2018,168,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",Комитет Государственной Думы по охране здоровья,090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",Совместное ведение,Закон наделил Роспотребнадзор правом проводить контрольную закупку в сфере защиты прав потребителей и санитарно-эпидемиологического надзора.,получать услуги и товары лучшего качества,"усилить контроль, развивать сферу защиты прав потребителей"
17,396220-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Упрощение получения льгот по ЖКХ пенсионерам,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 22.01.2019 № 1-ФЗ «О внесении изменения в статью 171 Жилищного кодекса Российской Федерации»,15.01.2019,37,"Депутаты Государственной Думы А.Г.Сидякин, О.И.Павлова, И.Е.Марьяш, П.Р.Качкаев, И.В.Осипов, О.В.Окунева, О.Ю.Баталина, В.Е.Булавинов, А.А.Максимов, Н.В.Говорин, А.Ю.Брыксин, А.А.Хохлов, В.И.Синяговский, В.В.Бузилов, М.А.Чернышев, С.А.Пахомов, М.М.Бариев, Н.Г.Брыкин, З.Я.Рахматуллина, М.А.Гадыльшин, А.А.Гетта, А.И.Воевода, С.В.Железняк, Н.Д.Боева, М.П.Беспалова, И.В.Медведев, Ю.В.Кобзев, Н.Н.Пилюс, Т.И.Фролова, А.П.Марков, О.А.Бондарь, А.Е.Загребин, М.С.Шеремет, В.Ф.Шрейдер, Г.К.Сафаралиев, В.В.Суббот, М.С.Гаджиев, К.Г.Слыщенко, Т.И.Цыбизова, М.В.Гулевский, Д.С.Перминов, Д.В.Саблин, А.Г.Литовченко, Е.В.Панина, Р.К.Хуснулин, И.М.Гусева, Р.Ш.Хайров, И.С.Минкин, И.Б.Богуславский, Л.И.Черкесов, Е.Б.Шулепов, В.И.Афонский, З.Д.Геккиев, Т.В.Сапрыкина, А.В.Туров, А.В.Каличенко, С.В.Бессараб, О.В.Шеин, Н.Б.Колесникова, Р.А.Азимов, С.В.Яхнюк, М.В.Романов, А.Г.Когогина, В.Н.Плотников",Федеральный закон,Комитет Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству,нет,050.010.000 Общие положения,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству,Совместное ведение,Закон снимает с пенсионеров бремя доказывания отсутствия задолженности по оплате ежемесячного взноса на капитальный ремонт для получения компенсации.,проще и быстрее получать предусмотренные по закону льготы,развивать межведомственное взаимодействие
18,481353-7 ,Социальное обеспечение и льготы,Социальная поддержка граждан,Оплата административного штрафа,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 513-ФЗ «О внесении изменений в статьи 31.8 и 32.2 Кодекса Российской Федерации об административных правонарушениях»,12.12.2018,189,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"020.000.000 Основы государственного управления, 020.060.000 Административные правонарушения и административная ответственность, 020.060.020 Административные взыскания",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Совместное ведение,Законом сохраняется льгота по оплате половины суммы административного штрафа в 20-дневный срок при задержке получения почтового извещения свыше данного срока.,уменьшить финансовые издержки,снизить административные барьеры
19,403647-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Освобождение от госпошлины при ЧС,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.07.2018 № 233-ФЗ «О внесении изменения в статью 333-35 части второй Налогового кодекса Российской Федерации»,19.07.2018,140,"Депутаты Государственной Думы А.К.Исаев, В.В.Бузилов, А.Е.Загребин, Н.В.Говорин, А.А.Гетта, И.В.Медведев, В.С.Скруг, Р.А.Азимов, А.И.Воевода, С.В.Железняк, И.М.Тетерин, В.А.Шаманов, Н.В.Малов, М.М.Бариев, В.И.Синяговский, И.В.Сапко, А.В.Туров, Г.К.Сафаралиев, В.В.Суббот, А.А.Максимов, Ю.В.Кобзев, Н.В.Панков, Д.С.Перминов, Д.В.Ламейкин, Т.И.Цыбизова, В.И.Афонский, Е.Б.Шулепов, С.В.Бессараб, М.С.Гаджиев, И.М.Гусева, С.В.Яхнюк, Г.И.Данчикова, М.П.Беспалова, Н.С.Максимова, Ю.Н.Мищеряков, О.А.Бондарь, И.И.Белеков, Р.М.Марданшин, М.В.Романов, Е.В.Панина, А.Г.Когогина, А.В.Каличенко, В.Н.Плотников, А.А.Носов, Д.В.Юрков, В.В.Селиверстов, А.Н.Ткачев, Р.Ш.Хайров, И.С.Минкин, И.Б.Богуславский, А.А.Хохлов, Н.Н.Пилюс, Ю.А.Левицкий, А.Б.Выборный, А.З.Фаррахов, В.В.Иванов, А.Г.Кобилев, Н.В.Назарова, В.В.Зубарев, Н.П.Санина; Законодательное Собрание Нижегородской области",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Закон освобождает граждан, пострадавших от чрезвычайной ситуации, от государственной пошлины за восстановление всех документов.",снизить финансовые издержки при восстановлении документов после ЧС и сократить сроки восстановления,"снять финансовое бремя по восстановлению документов с лиц, оказавшихся в трудной жизненной ситуации после ЧС"
20,451522-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Совместные завещания и наследственные договоры,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 19.07.2018 № 217-ФЗ «О внесении изменений в статью 256 части первой и часть третью Гражданского кодекса Российской Федерации»,10.07.2018,75,"Депутаты Государственной Думы П.В.Крашенинников, И.В.Белых, М.В.Емельянов, Ю.П.Синельщиков, А.П.Петров, Г.И.Данчикова, М.П.Беспалова, И.В.Сапко, Е.А.Вторыгина, Н.В.Говорин, А.З.Фаррахов, О.А.Бондарь, Ю.Н.Швыткин",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,030.000.000 Гражданское право,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон ввел новые формы передачи имущества по наследству – совместные завещания и наследственные договоры.,"снизить число конфликтных ситуаций в семьях по поводу наследства, обеспечить реализацию достигнутых договоренностей о наследовании имущества","представить гражданам больше законного инструментария для распоряжения своим имуществом, упростить процедуры принятия наследства"
21,374313-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Повышение МРОТ,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 07.03.2018 № 41-ФЗ «О внесении изменения в статью 1 Федерального закона «О минимальном размере оплаты труда»,16.02.2018,21,Президент Российской Федерации,Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",нет,070.000.000 Социальное обеспечение и социальное страхование,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Совместное ведение,Законом с 1 мая 2018 года минимальный размер оплаты труда приравнен к прожиточному минимуму (11 163 рубля в месяц).,"получать увеличенный размер зарплат и социальных выплат, «привязанных» к МРОТ (например, по временной нетрудоспособности, а также по беременности и родам тем, кто не имеет страхового стажа)","повысить «сетку» зарплат работникам бюджетной сферы, уровень финансовой самостоятельности и платежеспособности граждан"
22,745092-7,Социальное обеспечение и льготы,Материнство и детство,Информационная система о зачислении детей в детсады,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2019 № 515-ФЗ «О внесении изменений в статьи 67 и 98 Федерального закона «Об образовании в Российской Федерации» в части формирования и ведения информационных систем доступности дошкольного образования»,18.12.2019,196,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по образованию и науке,нет,130.000.000 Образование. Наука. Культура,Социальная политика,Комитет Государственной Думы по образованию и науке,Совместное ведение,"Установлены единые организационные и технические основы для зачисления детей в детсады с использованием информационных систем, включая закрепление исчерпывающего перечня информации, которая должна содержаться в информационной системе.",удобнее следить за статусом обработки заявления о приеме ребенка в детский сад,установить единые организационные и технические основы для зачисления детей в детские сады в порядке электронной очереди
